E  |||  
E  |||  
E  |||  
E  |||  
M  |||  BLADE RUNNER
C  |||  DECKARD
D  |||  Pretty sexy, the sixes.
E  |||  
C  |||  HOLDEN
D  |||  Sexy! Three hours into the autopsy
D  |||  they still think they're cutting
D  |||  up a human. No marks, nothing.
E  |||  
N  |||  Deckard looks impressed. Satisfied, Holden continues.
E  |||  
C  |||  HOLDEN
D  |||  I decided to check out all new employees
D  |||  at Tyrell. I test 26 boring jerks until
D  |||  in comes this guy Leon Somebody, nothing
D  |||  special but very big...
D  |||  (pause)
D  |||  Anyway....
E  |||  
C  |||  DECKARD
D  |||  You Voight-Kampff him ?
E  |||  
N  |||  Holden's eyes flutter a moment. Deckard waits. The
N  |||  breathing changes rhythm.
E  |||  
C  |||  HOLDEN
D  |||  Yeah! I thought maybe I was getting
D  |||  something......
D  |||  Maybe it doesn't work on these ones
D  |||  Deck.
E  |||  
N  |||  Deckard gets up and gives Holden phony good cheer.
E  |||  
C  |||  HOLDEN
D  |||  (continuing)
D  |||  It's all over, it's a wipe out,
D  |||  they're almost us, Deck, they're
D  |||  a disease, they're....
E  |||  
C  |||  DECKARD
D  |||  Take it easy, take it easy....
D  |||  Tyrell Corp's got one. I'm gonna
D  |||  Vee Kay it tomorrow.
E  |||  
C  |||  HOLDEN
D  |||  Push it! Push that button!
E  |||  
N  |||  Deckard pushes.
E  |||  
C  |||  DECKARD
D  |||  What's it for?
E  |||  
C  |||  HOLDEN
D  |||  Pain!
E  |||  
M  |||  CUT TO
E  |||  
M  |||  EXT. CITYSCAPE - MORNING
E  |||  
N  |||  A bleak morning.
E  |||  
M  |||  CUT TO
E  |||  
M  |||  EXT. SPINNER - MORNING
E  |||  
N  |||  The police spinner is whizzing over the city.
E  |||  
M  |||  CUT TO
E  |||  
M  |||  INT. SPINNER - MORNING
E  |||  
N  |||  Deckard looks very rumpled as he sits sleepily in the
N  |||  passenger seat drinking coffee from a mug and smoking.
E  |||  
E  |||  
M  |||  INT. SPINNER - MORNING
E  |||  
N  |||  Gaff is terse and silent at the controls. Suddenly the
N  |||  spinner rocks urgently from side to side and the sound
N  |||  of a hot Ferrari Spinner dopplers off.
E  |||  
N  |||  Gaff is pop-eyed with instant fury. He hits the spinner
N  |||  lights and flashes them.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. OVER CITY - MORNING
E  |||  
N  |||  The Ferrari Spinner zips right around a huge smokestack
N  |||  and shoots insolently off into the distance.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. SPINNER - MORNING
E  |||  
N  |||  Gaff sputters and fumes as he guides the spinner around
N  |||  the same stack.
E  |||  
N  |||  Deckard looks at Gaff. It's too early in the morning
N  |||  for all this energy.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. SPINNER - MORNING
E  |||  
N  |||  The Spinner makes a sharp bank, drops into a steep
N  |||  curve and slides toward the vast plain of industrializa-
N  |||  tion, the menacing shapes on the horizon, stacks
N  |||  of belching flames five hundred feet into the sky the
N  |||  color of cigar ash, towards a large pyramid shaped
N  |||  building.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. THE PYRAMID - MORNING
E  |||  
N  |||  The spinner is in a holding pattern.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. SPINNER - MORNING
E  |||  
N  |||  Traffic control purrs its SOFT ELECTRONIC INSTRUCTION
N  |||  into the cockpit as the spinner rocks gently lower,
N  |||  spiralling into the vortex.
E  |||  
E  |||  
N  |||  [page 22 missing from script]
E  |||  
E  |||  
C  |||  CONTINUED
E  |||  
N  |||  Now we see for the first time, Rachael, a beautiful
N  |||  woman in her late twenties dressed with taste and
N  |||  dignity.
E  |||  
C  |||  DECKARD
D  |||  Replicants are like any other
D  |||  machine. They can be a benefit
D  |||  or a hazard. If it's a benefit,
D  |||  it's not my problem.
E  |||  
C  |||  RACHAEL
D  |||  May I ask a personal question?
E  |||  
C  |||  DECKARD
D  |||  Go ahead.
E  |||  
C  |||  RACHAEL
D  |||  Have you ever retired a human by
D  |||  mistake ?
E  |||  
N  |||  Deckard blinks... hesitates before answering the
N  |||  question.
E  |||  
C  |||  DECKARD
D  |||  No.
E  |||  
C  |||  RACHAEL
D  |||  But in your position that is a risk.
E  |||  
N  |||  An OWL flaps around the huge marble office.
E  |||  
N  |||  TYRELL (os)
N  |||  Is this to be an empathy test?
N  |||  Capillary dilation of the so-called
N  |||  blush response.. fluctuation of the
N  |||  pupil involuntary dilation of
N  |||  the iris......
E  |||  
C  |||  DECKARD
D  |||  We call it Voight Kampff for short.
E  |||  
N  |||  Deckard turns to see an older man, very distinguished
N  |||  very well tailored has entered the huge marble office.
C  |||  TYRELL!
E  |||  
C  |||  RACHAEL
D  |||  Mr. Deckard. Dr. Eldon Tyrell.
E  |||  
N  |||  Tyrell has extended his hand to Deckard. Deckard shakes.
E  |||  
C  |||  TYRELL
D  |||  Demonstrate it. I want to see it
D  |||  work.
E  |||  
C  |||  DECKARD
D  |||  Where's the prototype ?
E  |||  
C  |||  TYRELL
D  |||  I want to see it work on a person.
D  |||  I want to see a negative before I
D  |||  provide you with a positive.
E  |||  
C  |||  DECKARD
D  |||  What's that gonna prove?
E  |||  
C  |||  TYRELL
D  |||  Indulge me.
E  |||  
C  |||  DECKARD
D  |||  On you?
E  |||  
N  |||  Tyrell indicates Rachael.
E  |||  
C  |||  TYRELL
D  |||  Try her.
E  |||  
N  |||  Deckard looks at Rachael. She's a beauty alright. He
N  |||  shrugs.
E  |||  
C  |||  DECKARD
D  |||  It's too bright in here.
E  |||  
N  |||  Tyrell hits a button.
E  |||  
N  |||  The windows darken, a polaroid effect that seems to
N  |||  give Tyrell the power to turn off the sun.
E  |||  
N  |||  Deckard is placing the Voight Kampff case on the table.
E  |||  
N  |||  The Voight Kampff opens like a butterfly as the room
N  |||  darkens.
E  |||  
E  |||  
M  |||  INT. TYRELL'S OFFICE - A LITTLE LATER
E  |||  
N  |||  Rachael's eye fills the screen, the iris brilliant,
N  |||  shot with light, the pupil contracting. We hear
N  |||  Deckard's voice and we have the impression the test
N  |||  has been going on for a while.
E  |||  
M  |||  DECKARD (O.S.)
M  |||  You are given a calfskin wallet
M  |||  for your birthday...
E  |||  
N  |||  Tyrell stands silhouetted behind Deckard, who sits in
N  |||  front of Rachael.
E  |||  
N  |||  The needles in both gauges swing violently past green
N  |||  to red, then subside.
E  |||  
C  |||  RACHAEL
D  |||  I wouldn't accept it, also I'd
D  |||  report the person who gave it to me
D  |||  to the police.
E  |||  
C  |||  DECKARD
D  |||  You have a little boy. He shows
D  |||  you his butterfly collection, plus
D  |||  the killing jar.
E  |||  
N  |||  Again the gauges register, but not so far.
E  |||  
C  |||  RACHAEL
D  |||  I'd take him to the doctor.
E  |||  
C  |||  DECKARD
D  |||  You're watching TV and suddenly
D  |||  you notice a wasp crawling on
D  |||  your wrist.
E  |||  
C  |||  RACHAEL
D  |||  I'd kill it.
E  |||  
N  |||  Both needles go red. Deckard makes a note, takes a
N  |||  sip of coffee and continues.
E  |||  
C  |||  DECKARD
D  |||  In a magazine you come across a
D  |||  full-page photo of a nude girl.
E  |||  
C  |||  RACHAEL
D  |||  Is this testing whether I'm a
D  |||  replicant or a lesbian?
E  |||  
C  |||  DECKARD
D  |||  You show the pciture to your
D  |||  husband. He likes it and hangs
D  |||  it on the wall. The girl is lying
D  |||  on a bearskin rug.
E  |||  
C  |||  RACHAEL
D  |||  I wouldn't let him.
E  |||  
C  |||  DECKARD
D  |||  Why not?
E  |||  
C  |||  RACHAEL
D  |||  I should be enough for him.
E  |||  
N  |||  Deckard frowns, then smiles. His smile looks a little
N  |||  like a grimace or the other way around.
E  |||  
C  |||  DECKARD
D  |||  Last question. You're watching
D  |||  an old movie. It shows a banquet
D  |||  in progress, the guests are enjoying
D  |||  raw oysters.
E  |||  
C  |||  RACHAEL
D  |||  Ugh.
E  |||  
N  |||  Both needles swing swiftly.
E  |||  
C  |||  DECKARD
D  |||  The entree consists of boiled
D  |||  dog stuffed with rice.
E  |||  
N  |||  Needles move less.
E  |||  
C  |||  DECKARD
D  |||  (continuing)
D  |||  The raw oysters are less acceptable
D  |||  to you than a dish of boiled dog.
E  |||  
N  |||  Deckard switches off his beam.
E  |||  
C  |||  TYRELL
D  |||  Well, Mr. Deckard?
E  |||  
N  |||  Deckard is looking at Tyrell and wincing indecisively.
E  |||  
N  |||  He doesn't get it. Are they playing with him?
E  |||  
C  |||  TYRELL
D  |||  (continuing)
D  |||  Perhaps some privacy will loosen
D  |||  your tongue, Mr. Deckard.
E  |||  
N  |||  He turns to Rachael
E  |||  
C  |||  TYRELL
D  |||  Would you step out for a few moments,
D  |||  Rachael?
E  |||  
N  |||  Rachael exits looking a little shaken. What's going
N  |||  on?
E  |||  
N  |||  Deckard stares at Tyrell.
E  |||  
N  |||  Tyrell meets his look.
E  |||  
C  |||  TYRELL
D  |||  I'm impressed. How many questions
D  |||  does it usually take to spot one?
E  |||  
C  |||  DECKARD
D  |||  I don't get it.
E  |||  
C  |||  TYRELL
D  |||  How many questions ?
E  |||  
C  |||  DECKARD
D  |||  In columns of four cross referenced,
D  |||  twenty or thirty.
E  |||  
C  |||  TYRELL
D  |||  It took more than a hundred for
D  |||  Rachael, didn't it ?
E  |||  
C  |||  DECKARD
D  |||  She really doesn't know ?
E  |||  
C  |||  TYRELL
D  |||  She's beginning to suspect, I think.
E  |||  
C  |||  DECKARD
D  |||  Suspect! How can she not know
D  |||  she is.
E  |||  
C  |||  TYRELL
D  |||  Well, we began to notice in them
D  |||  a strange obsession.
E  |||  
N  |||  Tyrell is pacing now, lecturing.
E  |||  
C  |||  TYRELL
D  |||  After all, they are emotionally
D  |||  inexperienced with only a few
D  |||  years inwhich to store up the
D  |||  experiences which you and I take
D  |||  for granted. If we gift them
D  |||  with a past... we create a
D  |||  cushion or pillow for their
D  |||  emotions.. and we can
D  |||  control them better.
E  |||  
C  |||  DECKARD
D  |||  They want memories?
E  |||  
C  |||  TYRELL
D  |||  It's the dark corners, the little
D  |||  shadowy places that makes you
D  |||  interesting, Deckard..... gusty
D  |||  emotions on a wet road on an
D  |||  autumn night.. the change of
D  |||  seasons..... the sweet guilt
D  |||  after masturbation.
E  |||  
C  |||  DECKARD
D  |||  Jesus Christ,Tyrell!
E  |||  
N  |||  Tyrell looks startled.
E  |||  
C  |||  DECKARD
D  |||  Where do you get them, the
D  |||  memories?
E  |||  
C  |||  TYRELL
D  |||  In the case of Rachael, I simply
D  |||  copied and regenerated cells from
D  |||  the brain of my sixteen-year-
D  |||  old niece. Rachael remembers
D  |||  what my little niece remembers.
E  |||  
C  |||  DECKARD
D  |||  I saw an old movie once. The
D  |||  guy had bolts in his head.
E  |||  
N  |||  Deckard looks amazed while Tyrell looks pleased with
N  |||  himself.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  EXT. OVERHEAD VIEW OF HOTEL - NIGHT
E  |||  
N  |||  The hotel is in a seedy part of town.
E  |||  
E  |||  
M  |||  EXT. ANGLE ON DECKARD - NIGHT
E  |||  
N  |||  Deckard and Gaff are standing in front of the hotel,
N  |||  looking it over.
E  |||  
N  |||  Deckard glances at a crumpled piece of paper in his
N  |||  hand with an address scrawled on it.
E  |||  
N  |||  He glances at the hotel. The address is correct.
E  |||  
N  |||  Deckard and Gaff enter the hotel, leaving frame.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL CORRIDOR - NIGHT
E  |||  
N  |||  A dingy, trash-filled corridor.
E  |||  
N  |||  An OLD MAN leads Deckard and Gaff to a door. The Old
N  |||  Man is wearing an oxygen tank taking occasional hits
N  |||  of air from a mask. He unlocks the door.
E  |||  
N  |||  Deckard and Gaff enter wearily, hands inside their
N  |||  coats on their weapons.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL ROOM - NIGHT
E  |||  
N  |||  The room is dark and ominous, full of danger.
E  |||  
N  |||  Deckard studies the shadows, weapon ready.
E  |||  
N  |||  Satisfied the room is empty, he hits the wall switch.
E  |||  
N  |||  A four-tube fluorescent light overhead flutters weakly
N  |||  to half-life, two tubes.
E  |||  
N  |||  Deckard studies the room.
E  |||  
N  |||  It's clean in contrast to the littered hallway. A bed,
N  |||  a wardrobe, a small desk, a chair. Spartan, almost
N  |||  military.
E  |||  
N  |||  Gaff has seated himself on the windowsill. Except for
N  |||  his eyes he is motionless like a statue.
E  |||  
N  |||  Deckard reaches into his pocket and takes out infrared
N  |||  goggles which he puts on. He looks strange wearing the
N  |||  goggles.
E  |||  
N  |||  The room, from his POV, is seen in high contrast,
N  |||  every speck of dust in bright white, the fingerprints
N  |||  on the wall standing out like paintings, Gaff appear-
N  |||  ing eerie and ominous.
E  |||  
N  |||  Deckard starts to inspect the room with great care,
N  |||  feeling the moulding, inspecting the mattress on the
N  |||  bed, studying the fingerprints on the wall.
E  |||  
N  |||  Gaff watches motionless.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL ROOM - NIGHT (A LITTLE LATER)
E  |||  
N  |||  Deckard has opened the wardrobe.
E  |||  
N  |||  He's inspecting the suit neatly hung there. He feels
N  |||  in the pockets. He pulls out a packet of about sixty
N  |||  photographs. He thumbs them. Very ordinary looking
N  |||  snapshots. Maybe he notices a couple of strange ones.
N  |||  Maybe not.
E  |||  
N  |||  Deckard pockets the pictures and continues his inspec-
N  |||  tion.
E  |||  
N  |||  Gaff sits motionless like a statue.
E  |||  
E  |||  
M  |||  INT. HOTEL BATHROOM - NIGHT (MOMENTS LATER)
E  |||  
N  |||  Deckard, still wearing goggles, is checking the inside
N  |||  of the medicine cabinet in the tiny bathroom.
E  |||  
N  |||  Nothing. Clean.
E  |||  
N  |||  He shuts the cabinet and sees himself in the mirror
N  |||  in infrared wearing goggles. Weird.
E  |||  
N  |||  He exits the neat, tiny bathroom.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL ROOM - NIGHT
E  |||  
N  |||  Deckard steps out of the bathroom, notices something
N  |||  on the floor.
E  |||  
N  |||  Gaff is motionless.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL ROOM - NIGHT (MOMENTS LATER)
E  |||  
N  |||  Deckard is on his hands and knees studying the floor.
N  |||  He picks up a little speck on his finger, studies it.
E  |||  
N  |||  He picks up another.
E  |||  
N  |||  He puts the speck in his wallet.
E  |||  
N  |||  Gaff sits motionless on the sill.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL ROOM - NIGHT (A LITTLE LATER)
E  |||  
N  |||  Deckard takes off the goggles. He motions Gaff off
N  |||  the sill with his head.
E  |||  
N  |||  Deckard steps to the window, pulls the photos from
N  |||  his pocket and studies them in the faint light from
N  |||  outside.
E  |||  
N  |||  Snapshots. Very ordinary.
E  |||  
N  |||  Gaff stands near the door, watching Deckard.
E  |||  
N  |||  Deckard shuffles through the pictures in front of the
N  |||  window.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. HOTEL - NIGHT
E  |||  
N  |||  Leon is looking up at the hotel.
E  |||  
N  |||  He can see Deckard in the window looking at pictures.
E  |||  
N  |||  Leon is breathing hard, angry.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  INT. HOTEL ROOM - NIGHT
E  |||  
N  |||  Deckard feels funny as he studies the pictures, his
N  |||  mind changes focus. He steps aside, against the wall,
N  |||  and glances out of the window.
E  |||  
N  |||  Gaff watches Deckard and frowns uncomprehending.
E  |||  
N  |||  Deckard, satisfied at what he sees out the window,
N  |||  studies the photographs again, but not in front of
N  |||  the window.
E  |||  
N  |||  Gaff, frowning, approaches the window and looks out,
N  |||  puzzled.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. HOTEL - NIGHT
E  |||  
N  |||  An angry Leon sees Gaff peering out the window above.
E  |||  
N  |||  Leon's eyes blaze with anger. He turns and runs off.
E  |||  
M  |||  CUT TO:
E  |||  
E  |||  
M  |||  EXT. STREET - NIGHT
E  |||  
N  |||  A blimp is drifting silently over the city reflect-
N  |||  ed in an eyeball while we hear the SOUNDS OF THE
C  |||  STREET.
E  |||  
N  |||  The eyeball belongs to BATTY who is standing on
N  |||  the sidewalk. He resembles a tradition, the gym
N  |||  instructor, short, cropped hair with the body of a
N  |||  drill sergeant but the eyes are gray and chilling.
N  |||  Roy Batty is a presence of force with a lazy, but
N  |||  acute sense of what goes on around him.
E  |||  
N  |||  He lowers his attention from the sky to Leon.
E  |||  
N  |||  Leon approaches him.
E  |||  
C  |||  BATTY
D  |||  Did you get your precious photos?
E  |||  
C  |||  LEON
D  |||  Somebody was there.
E  |||  
C  |||  BATTY
D  |||  Police.
E  |||  
C  |||  LEON
D  |||  Just men.
E  |||  
C  |||  BATTY
D  |||  Police men.
E  |||  
N  |||  Leon looks sullen. He doesn't know.
E  |||  
N  |||  Batty is looking at the storefront across the street,
N  |||  the one that says HANNIBAL CHEW over the door.
E  |||  
N  |||  Batty indicates the store to Leon with a head movement.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. CHEW'S SHOP - NIGHT
E  |||  
N  |||  Eyes. Nothing but eyes swimming in a thick, clear
N  |||  solution.
E  |||  
N  |||  The eyes are in an aquarium inside Chew's shop.
N  |||  There are other aquariums and technical equipment.
E  |||  
N  |||  CHEW himself, wearing a heavy fur coat and gloves is
N  |||  hunched over a workbench in a pool of light doing
N  |||  meticulous work with a pair of forceps. He is an
N  |||  ancient Asian and his steamy breath and frosty beard
N  |||  indicate just how cold it is in this sub-zero
N  |||  laboratory.
E  |||  
N  |||  Chew dips the forceps into a vat at his side.
N  |||  Deep cold!
E  |||  
N  |||  The forceps and the tiny item in the forceps come out
N  |||  of the solution frozen solid.
E  |||  
N  |||  A SPEAKER on the wall CRACKLES and FARTS STATIC.
E  |||  
M  |||  WALL SPEAKER
M  |||  Mr. Chew.
E  |||  
N  |||  Chew keeps working.
E  |||  
C  |||  CHEW
D  |||  Aaaaaaaannnnn?
E  |||  
N  |||  The wall speaker is intermittent.
E  |||  
M  |||  WALL SPEAKER
M  |||  ... one... URP... wants... to
M  |||  see you.
E  |||  
N  |||  Chew continues working.
E  |||  
C  |||  CHEW
D  |||  Busy!
E  |||  
M  |||  WALL SPEAKER
M  |||  ... talk to you... Nexus Six...
M  |||  designs.
E  |||  
N  |||  Chew frowns and turns from his work disgruntled.
E  |||  
C  |||  CHEW
D  |||  Busy!
E  |||  
N  |||  Chew continues working while he mutters in Chinese.
N  |||  Peace returns, he calms down and works in chilly
N  |||  silence.
E  |||  
N  |||  Then the door opens.
E  |||  
N  |||  Standing in the doorway is Roy Batty.
E  |||  
N  |||  Chew gets up fuming.
E  |||  
C  |||  CHEW
D  |||  Busy! Busy! You go away! Make
D  |||  appointment.
E  |||  
N  |||  Chew bursts into Chinese.
E  |||  
N  |||  Batty smiles. You would not want him to smile at you.
E  |||  
N  |||  Leon enters and closes the door.
E  |||  
C  |||  CHEW
D  |||  (apoplectic)
D  |||  No! No! Cold! Cold! Go away.
E  |||  
N  |||  Batty smiles. His coat is already covered with ice.
E  |||  
C  |||  BATTY
D  |||  Questions.
E  |||  
C  |||  CHEW
D  |||  No! No questions!
E  |||  
N  |||  Leon is staring at the floating eyes in an aquarium.
E  |||  
N  |||  Batty smiles pleasantly and glances at a tank of
N  |||  deep cold. Batty sticks his hand in.
E  |||  
C  |||  CHEW
D  |||  (urgently)
D  |||  No! Cold!
E  |||  
N  |||  Batty still smioing, pulls his hand out. It's icy.
E  |||  
N  |||  Chew looks at Batty's hand and then at his smiling face.
E  |||  
N  |||  Chew screams in sudden discovery and outrage.
E  |||  
C  |||  CHEW
D  |||  You replicant!
E  |||  
N  |||  We looks at Batty's machine-gun smile, steam pouring
N  |||  from his nostrils as we hear the shrill, indignant
N  |||  voice of Chew being outraged.
E  |||  
M  |||  CHEW'S VOICE (OS)
M  |||  You illegal. Can't come here!
M  |||  Illegal.
E  |||  
N  |||  Batty is smiling his smokey smile and Chew is point-
N  |||  ing up.
E  |||  
C  |||  CHEW
D  |||  You not belong here. Up there!
E  |||  
C  |||  BATTY
D  |||  Fiery the Angels fell... And as they
D  |||  fell deep thunder rolled around their
D  |||  shores;
D  |||  indignant,
D  |||  burning with the fires of Orc.
E  |||  
N  |||  Chew is bug eyed. What is this shit?
E  |||  
N  |||  Batty reaches out and puts his hands on the collar of
N  |||  Chews's fur coat.
E  |||  
C  |||  BATTY
D  |||  Questions!
E  |||  
N  |||  RRRRRIIIIIIPPPP.Batty pulls the coat apart, it splits
N  |||  along the back seam and falls away like a banana peel.
E  |||  
N  |||  Chew is suddenly totally scared, totally cold and totally
N  |||  co-operative.
E  |||  
C  |||  CHEW
D  |||  Okay! Answers!
D  |||  (pointing)
D  |||  Gimmeee coat! Cold!
E  |||  
N  |||  Chew is pointing to the wall pegs where more fur coats
N  |||  hang.
E  |||  
C  |||  BATTY
D  |||  Morphology.. longevity... use life...
D  |||  incept dates...
E  |||  
C  |||  CHEW
D  |||  (squealing)
D  |||  I dunno! Dunna that stuff. I do
D  |||  eyes! Just eyes! Genetic designs,
D  |||  just eyes!
E  |||  
N  |||  Batty looks around the room at the tank of eyes, the
N  |||  muscle charts of eyes, the pictures of eyes.
E  |||  
C  |||  BATTY
D  |||  Ah! I thought perhaps feet...
D  |||  hands... muscle tissue.. or..
D  |||  noses...
E  |||  
C  |||  CHEW
D  |||  (desperate)
D  |||  Just eyes. Gimee coat, okay?
E  |||  
N  |||  Leon is staring into the tank of eyes, trying not to
N  |||  blink.
E  |||  
N  |||  The eyes stare back at Leon, unblinkingly, arrogantly.
E  |||  
C  |||  BATTY
D  |||  My eyes..... I guess you designed
D  |||  them, eh?
E  |||  
C  |||  CHEW
D  |||  You Nexus? I design Nexus eyes.
E  |||  
N  |||  SMASH! Leon, infuriated by the unblinking eyes, smashes
N  |||  the tank and the insolent eyes pour out onto the floor.
E  |||  
N  |||  Batty smiles and points to his own eyes.
E  |||  
C  |||  BATTY
D  |||  Ah, Chew.....
D  |||  (squish,squish)
D  |||  If only you could see the things
D  |||  I have seen with your eyes.
E  |||  
N  |||  Squish! Squish! The squishes are Batty's feet
N  |||  stepping in eyeballs as he paces in front of Chew.
E  |||  
C  |||  CHEW
D  |||  Please! Cc-cc-cold!
E  |||  
C  |||  BATTY
D  |||  (prosecuting attorney)
D  |||  Questions!
E  |||  
C  |||  CHEW
D  |||  D-dunno answers! P-please!
E  |||  
C  |||  BATTY
D  |||  Who does?
E  |||  
C  |||  CHEW
D  |||  Tyro! Knows everything!
E  |||  
C  |||  BATTY
D  |||  The Tyrell Corporation?
E  |||  
C  |||  CHEW
D  |||  Big boss! Big genius! Design
D  |||  your brain.
E  |||  
C  |||  BATTY
D  |||  Ah! Smart!
E  |||  
C  |||  CHEW
D  |||  V-very cold, p-please....
E  |||  
C  |||  BATTY
D  |||  Not an easy man to see, I'd
D  |||  guess. Security.....
E  |||  
C  |||  CHEW
D  |||  Sebastian take you! Gimmee
D  |||  coat.
E  |||  
C  |||  BATTY
D  |||  And who is Sebastian?
E  |||  
N  |||  Chew is blue and hysterical.
E  |||  
C  |||  CHEW
D  |||  J-j-j-j-j F. S-sebastian.
D  |||  Please.............
E  |||  
C  |||  BATTY
D  |||  Ah! How would I find him...
D  |||  J.F. Sebastian ?
E  |||  
N  |||  Chew looks like heart attack city. Is it going to
N  |||  go on forever?
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  EXT. DECKARD'S APARTMENT BUILDING - NIGHT
E  |||  
N  |||  Deckard's car pulls up into a drive of a condominium
N  |||  block that looms against the night sky like a pile
N  |||  of cardboard boxes.
E  |||  
N  |||  Deckard gets out of the car wearily and heads for the
N  |||  front door.
E  |||  
M  |||  CUT TO
E  |||  
E  |||  
M  |||  INT. ELEVATOR NIGHT
E  |||  
N  |||  The elevator is gloomy, poorly lit, full of shadows.
E  |||  
N  |||  Deckard asks for the 97th Floor.
E  |||  
N  |||  The ELEVATOR makes a creaking noise, very distinctive,
N  |||  and starts upward.
E  |||  
N  |||  Deckard frowns. Something is wrong. He is suddenly
N  |||  very alert, ready.
E  |||  
N  |||  There are shadows behind him but he can't turn to look.
E  |||  
N  |||  The ELEVATOR CREAKS UPWARDS.
E  |||  
N  |||  Deckard goes for his blaster, gets it out quick and
N  |||  whirls.
E  |||  
N  |||  Rachael is there, in the shadows.
E  |||  
N  |||  Deckard's blaster is pointed at her. One more second.....
E  |||  
N  |||  Deckard lowers the blaster. He's shaking all of a sudden.
E  |||  
C  |||  RACHAEL
D  |||  I'm sorry.
E  |||  
E  |||  
M  |||  INT. CORRIDOR NIGHT
E  |||  
N  |||  Deckard exits the elevator and approaches his door.
E  |||  
N  |||  Rachael is behind him, she's desperate.
E  |||  
N  |||  Deckard takes out his wallet, it drops to the floor
N  |||  scattering his cards.
E  |||  
N  |||  Rachael picks up the cards.
E  |||  
C  |||  RACHAEL
D  |||  Let me help you.
E  |||  
C  |||  DECKARD
D  |||  What do I need help for?
E  |||  
N  |||  Deckard takes the card from her and starts to open
N  |||  the door.
E  |||  
C  |||  RACHAEL
D  |||  I don't know why he told you what
D  |||  he did.
E  |||  
C  |||  DECKARD
D  |||  Talk to him.
E  |||  
E  |||  
M  |||  INT. DECKARD'S APARTMENT - NIGHT
E  |||  
N  |||  The place is a mess.Deckard walks in leaving the door open.
E  |||  
C  |||  RACHAEL
D  |||  He wouldn't see me.
E  |||  
N  |||  Deckard goes into the kitchen, comes out with a towel drying
N  |||  his hair. He walks to the cocktail cabinet and pours himself
N  |||  a drink.
E  |||  
C  |||  DECKARD
D  |||  I'm gonna have a drink.
E  |||  
C  |||  RACHAEL
D  |||  You think I'm a replicant, don't
D  |||  you?
E  |||  
N  |||  Deckard takes off his wet raincoat and throws it on a chair.
E  |||  
C  |||  RACHAEL
D  |||  Look.
E  |||  
N  |||  She goes to him holding a picture in her hand.
E  |||  
N  |||  Deckard looks at it.
E  |||  
N  |||  It's an old snapshot, a little girl with a mother and father.
E  |||  
C  |||  RACHAEL
D  |||  It's me with my parents.
E  |||  
N  |||  Deckard hands it back to her slowly. Finally speaks.
E  |||  
C  |||  DECKARD
D  |||  You remember when you were about six and you
D  |||  and your brother snuck into an empty building....
D  |||  through the basement window ?
E  |||  
C  |||  RACHAEL
D  |||  What? Y-yes....
E  |||  
C  |||  DECKARD
D  |||  You were going to play Doctor. He showed
D  |||  you his, then you chickened and ran out.
E  |||  
C  |||  RACHAEL
D  |||  But....
E  |||  
N  |||  She looks up and he's staring at her, but she doesn't seem
N  |||  to notice.
E  |||  
C  |||  DECKARD
D  |||  Remember the bush outside your window
D  |||  with the spider in it.
E  |||  
N  |||  Rachael looks up at him.
E  |||  
C  |||  DECKARD
D  |||  Green body, orange legs... you watched
D  |||  her build a web all summer.
E  |||  
C  |||  RACHAEL
D  |||  Yes.
E  |||  
N  |||  Her voice is getting very small.
E  |||  
C  |||  DECKARD
D  |||  One day there was an egg in the webb.
E  |||  
N  |||  Rachael nods faintly.
E  |||  
C  |||  RACHAEL
D  |||  After a while, the egg hatched and
D  |||  hundreds of baby spiders came out and
D  |||  ate her. That made quite an impression
D  |||  on me, Mr. Deckard.
E  |||  
C  |||  DECKARD
D  |||  You still don't get it?
E  |||  
C  |||  RACHAEL
D  |||  No.. I... I .... don't.
E  |||  
N  |||  Deckard is now nasty, downright bitter.
E  |||  
C  |||  DECKARD
D  |||  Implants. They are not your memories,
D  |||  they belong to Tyrell's sixteen year
D  |||  old niece.
E  |||  
N  |||  Rachael doesnt say anything, she can't.
E  |||  
